Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Proteomics\Day 2.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_OD600.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,30/01/2019,,,,,,,,,,,,,
Time,12:05:38,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.139,0.136,0.147,0.049,0.045,0.044,0.074,0.072,0.065,0.09,0.082,0.068,600
,B,0.056,0.06,0.059,0.063,0.068,0.059,0.056,0.055,0.059,0.081,0.1,0.081,600
,C,0.058,0.062,0.063,0.049,0.04,0.04,0.04,0.047,0.044,0.065,0.066,0.058,600
,D,0.066,0.079,0.088,0.054,0.07,0.064,0.058,0.053,0.053,0.045,0.048,0.06,600
,E,0.078,0.086,0.105,0.053,0.054,0.073,0.038,0.038,0.038,0.038,0.057,0.038,600
,F,0.038,0.038,0.039,0.084,0.087,0.086,0.079,0.072,0.061,0.049,0.051,0.046,600
,G,0.05,0.059,0.051,0.047,0.049,0.053,0.064,0.069,0.089,0.044,0.051,0.049,600
,H,0.043,0.043,0.046,0.044,0.044,0.043,0.044,0.044,0.044,0.049,0.044,0.044,600
