Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Proteomics\Day 4.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_OD600.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,01/02/2019,,,,,,,,,,,,,
Time,12:44:51,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.152,0.142,0.141,0.052,0.05,0.045,0.066,0.062,0.062,0.089,0.109,0.079,600
,B,0.065,0.068,0.065,0.06,0.066,0.06,0.06,0.05,0.057,0.089,0.089,0.086,600
,C,0.062,0.064,0.064,0.052,0.051,0.044,0.042,0.046,0.045,0.057,0.058,0.056,600
,D,0.09,0.077,0.092,0.064,0.082,0.08,0.069,0.066,0.056,0.059,0.046,0.08,600
,E,0.071,0.077,0.087,0.059,0.058,0.071,0.04,0.038,0.038,0.038,0.037,0.039,600
,F,0.038,0.039,0.041,0.08,0.075,0.077,0.067,0.056,0.052,0.05,0.052,0.05,600
,G,0.049,0.054,0.053,0.045,0.052,0.048,0.066,0.065,0.063,0.049,0.051,0.046,600
,H,0.043,0.042,0.048,0.048,0.047,0.044,0.043,0.044,0.044,0.047,0.045,0.044,600
