Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Proteomics\Day 1.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_OD600.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,29/01/2019,,,,,,,,,,,,,
Time,15:06:00,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.098,0.095,0.106,0.049,0.046,0.044,0.06,0.061,0.06,0.068,0.073,0.06,600
,B,0.055,0.056,0.058,0.053,0.054,0.054,0.049,0.049,0.058,0.063,0.075,0.069,600
,C,0.057,0.059,0.057,0.041,0.039,0.04,0.041,0.04,0.041,0.059,0.055,0.059,600
,D,0.056,0.055,0.056,0.045,0.058,0.047,0.048,0.047,0.05,0.047,0.044,0.051,600
,E,0.056,0.058,0.06,0.052,0.054,0.054,0.041,0.038,0.038,0.038,0.039,0.038,600
,F,0.039,0.045,0.039,0.092,0.07,0.08,0.063,0.051,0.053,0.051,0.043,0.044,600
,G,0.046,0.05,0.049,0.044,0.047,0.045,0.056,0.057,0.066,0.047,0.049,0.045,600
,H,0.043,0.043,0.046,0.043,0.043,0.044,0.044,0.043,0.043,0.046,0.044,0.044,600
