Genome,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc
"PhAc_03196: 3,4-dihydroxyphthalate decarboxylase",0.008720753,0.012481436,0.212215961,0.030640289,0.012186226,0.083,4.888983333,1.494293333,0.440616667,4.805983333,1.411293333,0.357616667
"PhAc_03197 Phthalate 3,4-dioxygenase ferredoxin reductase component",0.00612231,0.015537853,0.199341188,0.013342015,0.008576661,0.90938,5.309066667,0.805216667,0.44423,4.399686667,-0.104163333,-0.46515
"PhAc_03198 Phthalate 3,4-dioxygenase ferredoxin component",0.008476916,0.019165043,0.043728522,0.012008422,0.010985989,0.742606667,2.65101,0.183823333,0.331943333,1.908403333,-0.558783333,-0.410663333
"PhAc_03199 phthalate 3,4-cis-dihydrodiol dehydrogenase",0.005616129,0.018854478,0.356441792,0.055989252,0.010953243,1.313,6.271993333,2.99889,0.9216,4.958993333,1.68589,-0.3914
"PhAc_03201: Phthalate 3,4-dioxygenase",0.010556742,0.023597225,0.876369838,0.167421152,0.009946434,0.726193333,6.65935,3.668633333,-0.128023333,5.933156667,2.94244,-0.854216667
"PhAc_03202: Phthalate 3,4-dioxygenase",0.009713735,0.015136908,0.310802871,0.024484972,0.012055025,0.205713333,5.283876667,1.015186667,0.269426667,5.078163333,0.809473333,0.063713333
PhAc_03203: Transcriptional regulator,0.009215992,0.014920135,0.102109694,0.016647858,0.011390818,0.26079,3.753883333,0.534513333,0.26355,3.493093333,0.273723333,0.00276
"PhAc_03205: Protocatechuate 3,4-dioxygenase",0.006913068,0.021237205,0.116922817,0.015124071,0.008179482,1.184936667,4.364133333,0.810836667,0.200573333,3.179196667,-0.3741,-0.984363333
"PhAc_03206: Protocatechuate 3,4-dioxygenase",0.007392092,0.017319019,0.202726754,0.013268512,0.008760538,0.794043333,5.061456667,0.52534,0.202926667,4.267413333,-0.268703333,-0.591116667
"PhAc_03207: 3-carboxy-cis, cis-muconate cycloisomerase",0.00861533,0.016090739,0.039951636,0.017571328,0.006786618,0.466993333,2.497323333,0.709633333,-0.386323333,2.03033,0.24264,-0.853316667
PhAc_03208: 3-oxoadipate enol-lactonase,0.008886505,0.022626559,0.604620473,0.019663769,0.011623125,0.91407,6.372316667,0.82724,0.3452,5.458246667,-0.08683,-0.56887
PhAc_03209: 3-oxoadipate CoA-transferase,0.006930948,0.018565153,0.378463236,0.017201367,0.01436988,0.987213333,6.055003333,0.992786667,1.009813333,5.06779,0.005573333,0.0226
PhAc_03210: 3-oxoadipate CoA-transferase,0.006547176,0.015991041,0.069172947,0.018118161,0.009680866,0.85406,3.68531,1.14988,0.522153333,2.83125,0.29582,-0.331906667
PhAc11_05962: 3-ketoacyl-CoA thiolase,0.139632995,0.054125829,0.166432037,0.145982808,0.108916556,-1.80151,0.53734,-0.254453333,-0.400526667,2.33885,1.547056667,1.400983333
PhAc11_04463: Beta-ketoadipyl-CoA thiolase,0.006620894,0.022988153,0.064091569,0.01747505,0.007741766,1.361533333,3.559083333,1.081586667,0.183526667,2.19755,-0.279946667,-1.178006667
ATBC0_01268: Carboxylesterase,0.023432507,0.023045375,0.043906908,0.022403641,0.084285319,-0.458293333,1.189983333,-0.38339,1.80466,1.648276667,0.074903333,2.262953333
ATBC1_05755: Isocitrate lyase,0.12176672,0.106083905,0.494882662,0.249422533,0.605831502,-0.633173333,2.307013333,0.71586,2.272686667,2.940186667,1.349033333,2.90586
ATBC1exo_05755: Isocitrate lyase,0.636285355,0.794644864,3.019713964,0.681795483,23.74754258,0.783526,2.002727333,0.111243667,5.078343667,1.219201333,-0.672282333,4.294817667
ATBC2_01749: Aconitate hydratase,0.09448845,0.072621189,0.095470472,0.028019475,0.384515902,-0.814006667,0.298963333,-2.07232,1.982723333,1.11297,-1.258313333,2.79673
ATBC3_01268: Carboxylesterase,0.023432507,0.023045375,0.043906908,0.022403641,0.084285319,-0.458293333,1.189983333,-0.38339,1.80466,1.648276667,0.074903333,2.262953333
ATBC4_01747: Transcriptional regulator,0.007355089,0.019483694,0.019257467,0.016654899,0.109102432,0.971193333,1.67265,0.86052,3.848686667,0.701456667,-0.110673333,2.877493333
DBP1_00019: Cutinase,0.006819548,0.020504926,0.056246679,0.016548914,0.009225686,1.153963333,3.328066667,0.960376667,0.39387,2.174103333,-0.193586667,-0.760093333
DBP2_03195: Alcohol dehydrogenase,0.006053248,0.019902236,0.332960991,0.01694559,0.011544599,1.28289,6.065546667,1.166516667,0.889326667,4.782656667,-0.116373333,-0.393563333
DBP3_00488: Acetaldehyde dehydrogenase,0.03481409,0.029624974,0.05786969,0.02538307,0.029140885,-0.667116667,1.017183333,-0.774416667,-0.298736667,1.6843,-0.1073,0.36838
