Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Proteomics\Day 4 TPA.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,01/02/2019,,,,,,,,,,,,,
Time,12:46:26,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  240,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,3.339,3.308,3.309,3.158,3.129,3.135,3.204,3.206,3.201,3.187,3.194,3.178,240
,B,3.186,3.177,3.173,3.176,3.167,3.169,3.148,3.157,3.141,3.172,3.18,3.164,240
,C,3.189,3.193,3.188,3.16,3.157,3.151,3.134,3.149,3.134,3.19,3.196,3.18,240
,D,3.187,3.184,3.172,3.173,3.207,3.197,3.187,3.173,3.166,3.176,3.137,3.181,240
,E,3.18,3.17,3.174,3.181,3.176,3.211,3.165,3.152,3.138,3.136,3.119,3.128,240
,F,3.123,3.131,3.136,3.201,3.206,3.228,3.163,3.151,3.133,3.153,3.137,3.145,240
,G,3.162,3.142,3.155,3.14,3.152,3.132,3.148,3.152,3.136,3.173,3.172,3.162,240
,H,3.121,3.109,3.119,3.103,3.099,3.103,3.1,3.103,3.089,3.103,3.108,3.104,240
