Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Proteomics\Day 14 TPA.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/02/2019,,,,,,,,,,,,,
Time,15:30:51,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  240,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,24.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,3.281,3.257,3.275,3.163,3.148,3.132,3.232,3.22,3.221,3.203,3.214,3.187,240
,B,3.167,3.172,3.174,3.167,3.181,3.173,3.176,3.159,3.167,3.176,3.202,3.206,240
,C,3.179,3.179,3.188,3.323,3.226,3.32,3.156,3.163,3.145,3.221,3.215,3.189,240
,D,3.538,3.513,3.431,3.164,3.189,3.276,3.18,3.18,3.216,3.303,3.279,3.281,240
,E,3.189,3.209,3.196,3.192,3.188,3.233,3.154,3.15,3.147,3.136,3.139,3.14,240
,F,3.157,3.13,3.142,3.234,3.245,3.233,3.159,3.143,3.167,3.141,3.153,3.147,240
,G,3.157,3.148,3.168,3.155,3.158,3.142,3.176,3.165,3.141,3.167,3.181,3.172,240
,H,3.109,3.112,3.109,3.116,3.103,3.101,3.106,3.111,3.122,3.123,3.12,3.119,240
