Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Proteomics\Day 14.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_OD600.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/02/2019,,,,,,,,,,,,,
Time,15:29:14,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,24.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.116,0.109,0.107,0.046,0.045,0.046,0.066,0.068,0.067,0.112,0.108,0.087,600
,B,0.067,0.067,0.069,0.062,0.066,0.066,0.066,0.057,0.058,0.083,0.112,0.089,600
,C,0.065,0.073,0.072,0.136,0.093,0.152,0.048,0.05,0.046,0.071,0.072,0.065,600
,D,0.349,0.315,0.22,0.055,0.08,0.119,0.067,0.066,0.088,0.131,0.11,0.129,600
,E,0.091,0.102,0.088,0.064,0.071,0.095,0.042,0.038,0.042,0.041,0.039,0.038,600
,F,0.04,0.042,0.042,0.097,0.086,0.088,0.058,0.051,0.051,0.05,0.051,0.045,600
,G,0.049,0.051,0.054,0.049,0.049,0.047,0.065,0.066,0.06,0.05,0.052,0.049,600
,H,0.043,0.043,0.044,0.043,0.042,0.044,0.044,0.044,0.044,0.046,0.044,0.044,600
