Genome,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc
Fattya1exo_01239 Alcohol dehydrogenase,0.019111219,0.076035024,0.548837544,0.214117016,0.276409004,1.966126667,4.822467667,3.495687667,3.86287,2.856341,1.529561,1.896743333
Fattya2exo_01238 Aldehyde dehydrogenase,0.039224175,0.346391221,1.754003241,0.323279596,0.380887413,3.116469667,5.461344667,3.052747333,3.288106667,2.344875,-0.063722333,0.171637
Fattya3exo_01456 Fatty acid-CoA ligase,0.0001624,0.002148697,0.005507271,0.002356411,0.003993723,3.699723333,5.062296667,3.86875,4.62867,1.362573333,0.169026667,0.928946667
Fattya4exo_01457 Acyl-CoA dehydrogenase,0.000249064,0.070020666,0.029409242,0.000849503,0.002633274,8.109,6.862186667,1.77988,3.410823333,-1.246813333,-6.32912,-4.698176667
Fattya5exo_01458 Enoyl-CoA hydratase,0.000536171,0.30491181,0.091339798,0.004318323,0.021020438,9.125366,7.390987333,3.019486667,5.301513333,-1.734378667,-6.105879333,-3.823852667
Fattya6exo_01455 Acyl-CoA dehydrogenase,0.000170205,0.002160346,0.009459459,0.002318076,0.002031132,3.639803333,5.774996667,3.777366667,3.5855,2.135193333,0.137563333,-0.054303333
Fattya7exo_00688 Beta-ketoadipyl CoA thiolase,0.00010983,0.015665138,0.000588735,0.001596764,0.002553591,7.13003,2.400933333,3.871593333,4.547746667,-4.729096667,-3.258436667,-2.582283333
Fattyb3exo_04867 Fatty acid-CoA ligase,0.000121247,0.023474278,0.02052501,0.017187145,0.002497834,7.57087,7.38187,7.157016667,4.373213333,-0.189,-0.413853333,-3.197656667
Fattyb4exo_04872 Acyl-CoA dehydrogenase,0.000226217,0.058924494,0.016701098,0.000811358,0.01596065,7.998896667,6.18467,1.85241,6.149223333,-1.814226667,-6.146486667,-1.849673333
Fattyb5exo_04870 Enoyl-CoA hydratase,0.000349326,0.167347427,0.016566968,0.001998524,0.004813159,8.877940333,5.546173333,2.52607,3.792896667,-3.331767,-6.351870333,-5.085043667
Fattyb6exo_04879 Acyl-CoA dehydrogenase,0.000106489,0.022999048,0.012065404,0.000786351,0.001830271,7.728606667,6.802606667,2.894246667,4.111836667,-0.926,-4.83436,-3.61677
Fattyb7exo_04908 Beta-ketoadipyl CoA thiolase,0.000143792,0.046466923,0.008968506,0.001324956,0.003389935,8.30996,5.941393333,3.21367,4.56776,-2.368566667,-5.09629,-3.7422
ATBC1exo_01562 Isocitrate lyase,0.00921464,0.002290664,0.462023695,0.090082168,0.118895514,-2.03428,5.626475333,3.299021667,3.698179667,7.660755333,5.333301667,5.732459667
PhAcexo_00638/0690 3-oxoadipate CoA-transferase,0.00017474,0.022801954,0.002595533,0.000942017,0.004038214,7.001686667,3.87133,2.440323333,4.538993333,-3.130356667,-4.561363333,-2.462693333
PhAc2exo_00636/0688 Beta-ketoadipyl-CoA thiolase,0.00010983,0.015665138,0.000588735,0.001596764,0.002553591,7.13003,2.400933333,3.871593333,4.547746667,-4.729096667,-3.258436667,-2.582283333
Estexo_04375 Esterase EstB,0.000311481,0.002338141,0.002884899,0.00123768,0.002390591,2.88203,3.189886667,2.000203333,2.94871,0.307856667,-0.881826667,0.06668
Transexo_00631 TRAP C4-dicarboxylate transporter,0.000148019,0.001484732,0.007965534,0.001511989,0.005606294,3.300226667,5.728493333,3.36237,5.251746667,2.428266667,0.062143333,1.95152
"Cat1_00595/0601 Catechol 1,2-dioxygenase",0.00035271,0.020633484,0.040054924,0.001506943,0.003089409,5.844243333,6.805933333,2.10485,3.139333333,0.96169,-3.739393333,-2.70491
TRAP_00631 TRAP C4-dicarboxylate transporter,0.000148019,0.001484732,0.007965534,0.001511989,0.005606294,3.300226667,5.728493333,3.36237,5.251746667,2.428266667,0.062143333,1.95152
PhAc3_00636/0688 Beta-ketoadipyl-CoA thiolase,0.00010983,0.015665138,0.000588735,0.001596764,0.002553591,7.13003,2.400933333,3.871593333,4.547746667,-4.729096667,-3.258436667,-2.582283333
Ben1_00645 4-hydroxybenzaldehyde dehydrogenase,4.33E-05,0.023490012,0.009008984,0.001444234,0.002582182,9.057473333,7.67956,5.0697,5.906763333,-1.377913333,-3.987773333,-3.15071
Ben2_00647 4-cresol dehydrogenase,0.000329442,0.080720911,0.019402864,0.005798024,0.013579365,7.910658333,5.858683333,4.147246667,5.373806667,-2.051975,-3.763411667,-2.536851667
