Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC
BDBJPGFE_00005 Ribose import binding protein RbsB,-15.38936,-16.38919,-16.29352,-13.12917,-13.17384,-13.32575,-13.86797,-13.40654,-14.31888,-16.45826,-17.83714,-17.18303,-14.33597,-14.75063,-14.75775
BDBJPGFE_00039 hypothetical protein,-12.1258,-12.5597,-12.07926,-7.334061,-7.894087,-7.627597,-10.46213,-10.7764,-10.13501,-9.85949,-9.821798,-10.06838,-9.203348,-9.255549,-9.504559
BDBJPGFE_00051 2-amino-5-chloromuconic acid deaminase,-21.5192,-19.99442,-18.47851,-13.58871,-13.61124,-14.14116,-15.07836,-15.24801,-15.80962,-15.35465,-16.17374,-15.62296,-16.30042,-14.42642,-15.04143
BDBJPGFE_00053 L-threonate dehydrogenase,-19.32355,-18.76642,-20.09548,-12.046,-10.96647,-10.9933,-16.89433,-13.90635,-16.64534,-15.50457,-16.70473,-17.17737,-14.93552,-14.89649,-14.4557
BDBJPGFE_00058 Solute-binding protein,-12.76307,-13.58521,-14.01568,-15.21045,-13.74209,-15.99742,-11.54075,-11.1725,-12.86771,-16.72239,-17.96506,-16.07997,-15.41409,-15.52065,-14.69104
"BDBJPGFE_00078 2,3-diketo-L-gulonate-binding periplasmic protein YiaO",-8.80376,-10.19918,-10.57108,-10.48051,-9.495345,-11.05187,-10.63574,-10.47935,-11.29599,-11.63956,-11.79886,-11.91585,-10.83029,-10.56992,-11.58249
BDBJPGFE_00102 Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,-15.57104,-19.55846,-19.89814,-13.00353,-12.69659,-16.06147,-14.0377,-12.81456,-13.55975,-16.86971,-16.84983,-15.74392,-15.96824,-14.32265,-14.97989
BDBJPGFE_00122 N-carbamoyl-L-amino-acid hydrolase,-19.93455,-18.83407,-20.18614,-13.9694,-14.16355,-14.17641,-14.05246,-13.77136,-14.0457,-17.20067,-17.12289,-16.28631,-15.38163,-14.66861,-16.14321
BDBJPGFE_00126 Beta-alanine--pyruvate aminotransferase,-18.67539,-17.98142,-19.9435,-16.81879,-14.76579,-15.47216,-16.19362,-15.64688,-15.87593,-16.51489,-15.52215,-15.07732,-14.32808,-14.99317,-14.70471
BDBJPGFE_00137 Ferrichrome outer membrane transporter/phage receptor,-19.24367,-15.70274,-15.57518,-13.06731,-15.41021,-13.34079,-12.47816,-13.45501,-12.849,-13.78429,-14.96678,-16.7603,-15.68049,-13.2478,-13.6894
BDBJPGFE_00141 Fructose-bisphosphate aldolase class 1,-18.37869,-17.38952,-19.14347,-11.97752,-11.79035,-11.26636,-10.64882,-10.69712,-11.66454,-15.83999,-16.47736,-16.40747,-13.99588,-14.17776,-15.95007
BDBJPGFE_00163 Glutamate/aspartate import solute-binding protein,-15.87522,-18.16737,-19.46334,-16.00921,-13.72101,-15.96446,-14.04487,-14.73015,-14.50353,-15.34629,-17.42789,-14.66233,-14.21017,-15.64467,-13.49517
BDBJPGFE_00165 Multidrug resistance protein MdtA,-14.1122,-19.36365,-17.27658,-15.91285,-15.65019,-15.4715,-13.52892,-12.17933,-12.35564,-16.89387,-15.33129,-15.46773,-16.62296,-14.75218,-16.58211
BDBJPGFE_00171 D-hydantoinase/dihydropyrimidinase,-20.0323,-17.71425,-18.70617,-13.24631,-13.10395,-12.67187,-14.02535,-13.84261,-14.30088,-16.93039,-17.22486,-16.77255,-15.72706,-16.08939,-14.99079
BDBJPGFE_00209 hypothetical protein,-17.1339,-20.11548,-18.33747,-12.7896,-11.59764,-11.84626,-11.68068,-11.9227,-13.07682,-14.92354,-13.25196,-15.86286,-15.6985,-15.28202,-15.56443
BDBJPGFE_00215 Solute-binding protein,-18.89119,-19.46021,-20.08019,-11.60649,-11.86015,-11.70795,-12.6624,-12.67906,-13.33634,-15.86912,-16.06261,-16.90856,-15.75088,-14.41023,-14.41881
BDBJPGFE_00217 hypothetical protein,-19.39437,-17.60309,-17.9468,-15.31627,-15.4832,-16.03603,-17.85369,-17.36893,-17.36749,-16.20073,-16.82509,-14.67857,-15.68294,-15.68953,-14.46776
BDBJPGFE_00218 hypothetical protein,-17.89782,-19.37698,-18.19285,-12.54915,-13.35853,-12.88481,-15.06022,-15.83566,-15.65275,-14.99319,-16.20756,-16.53099,-14.74867,-13.55314,-16.36411
BDBJPGFE_00219 hypothetical protein,-20.28151,-20.21401,-19.72443,-13.95154,-14.02479,-14.85733,-16.49228,-15.95143,-16.25119,-15.29058,-16.32682,-15.19497,-16.79945,-14.80653,-15.19454
BDBJPGFE_00228 putative protein,-19.04914,-20.1178,-17.79257,-10.0899,-9.362428,-9.414524,-12.34305,-11.87242,-12.32042,-10.71091,-11.36392,-11.32852,-10.66612,-10.80229,-9.813704
