Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC
JANJIKNC_00006 Bacterial proteasome activator,20.38638,20.16263,19.92467,19.49814,19.55741,20.68694,20.62934,20.12868,20.91736,19.73701,19.03075,19.8497,18.42476,19.14424,20.28218
JANJIKNC_00008 putative protein,22.15484,21.16858,21.30408,21.44076,20.49543,20.58353,20.91116,20.66813,21.01031,18.97707,21.42655,21.79289,21.88815,21.78073,21.70455
JANJIKNC_00018 Putative acyl-[acyl-carrier-protein] desaturase DesA1,21.18435,20.91116,21.20461,19.34119,19.87289,19.90367,21.71971,21.25609,21.74911,21.57251,21.65823,20.41361,21.35143,18.83943,21.2397
JANJIKNC_00019 putative cutinase,18.9515,19.43535,17.79944,19.81702,20.38766,19.4435,21.97306,21.90294,22.29449,18.76644,20.47491,19.82607,19.31259,18.77976,19.27555
JANJIKNC_00022 hypothetical protein,18.70679,19.0238,18.59726,20.04137,19.31245,19.19375,20.77024,20.31041,20.88084,20.40775,19.33503,19.00618,21.44324,18.85796,20.98607
JANJIKNC_00023 putative enoyl-CoA hydratase echA8,18.41306,18.15635,18.32304,18.58857,20.39898,18.80154,20.03389,20.01031,19.84872,19.8916,20.05699,19.5556,18.30091,19.10728,19.36815
JANJIKNC_00059 putative diacyglycerol O-acyltransferase tgs2,23.13741,23.25724,23.12772,22.37496,20.26948,22.54123,22.11753,22.30048,21.96056,21.70582,22.73254,22.27461,23.77374,23.79362,23.63134
JANJIKNC_00100 Putative serine protease HtrA,21.40208,21.62382,21.14457,19.85984,19.87616,21.34652,21.57348,22.01219,22.28354,19.10078,21.68089,19.66408,18.06936,22.91883,21.47511
JANJIKNC_00103 Putative aminotransferase/MSMEI_6121,21.09081,20.71666,20.80239,20.06408,21.10346,18.93695,20.79058,20.9679,21.10668,20.84667,19.61888,19.34823,20.682,19.17686,20.34624
JANJIKNC_00108 hypothetical protein,21.98576,22.14957,22.2948,21.66123,20.05955,21.18041,23.45111,22.49404,22.99049,21.3175,21.37449,22.25615,21.97302,21.42762,22.10335
JANJIKNC_00109 N-acetylmuramoyl-L-alanine amidase,19.4622,19.16745,19.20271,18.94946,20.23477,18.62979,20.31119,21.35665,20.43084,20.80987,19.00743,19.51517,19.23206,19.4429,18.77911
JANJIKNC_00110 Nucleoid-associated protein,22.8233,18.96428,22.75085,21.47328,20.14627,19.78664,23.4675,23.17536,23.75735,20.02611,18.74327,20.37794,22.74487,18.46891,23.33552
JANJIKNC_00117 putative protein,20.05894,20.42316,20.91254,19.32261,19.6684,19.00063,19.72291,17.89266,19.37903,19.43271,19.32562,18.93003,20.22882,19.46075,19.47365
JANJIKNC_00141 D-inositol 3-phosphate glycosyltransferase,22.99295,23.14748,22.85686,23.0052,22.10799,22.50872,22.47346,22.13486,20.53203,22.51915,21.79372,23.09329,23.39637,22.75886,23.33946
JANJIKNC_00147 hypothetical protein,23.11382,22.93288,22.86104,22.87215,19.59703,22.53372,22.23304,22.078,22.2032,19.93968,22.49089,22.77014,23.8918,23.83605,23.74612
JANJIKNC_00152 Aspartokinase,20.93063,20.75939,20.51316,20.77595,19.73855,21.25194,21.57163,21.34603,21.2972,19.60614,18.55203,19.60932,19.31349,18.96107,19.67997
JANJIKNC_00153 Aspartate-semialdehyde dehydrogenase,23.55462,23.32828,23.37106,21.76765,20.3795,18.66231,23.4946,23.68453,24.68662,23.29025,23.89911,22.862,21.3315,22.90172,22.5204
JANJIKNC_00164 Histidine N-alpha-methyltransferase,20.20526,18.85118,20.00881,18.55742,20.14746,19.10813,19.44006,19.13634,20.2018,19.67353,20.01373,19.18763,18.65623,19.80663,19.91624
JANJIKNC_00188 hypothetical protein,19.96888,20.73082,20.10072,19.21375,20.1032,19.44658,22.36818,23.10679,18.21047,23.03031,22.32056,21.96624,23.01803,23.2558,23.413
JANJIKNC_00192 hypothetical protein,21.18211,20.77587,21.47927,20.49609,20.72415,19.32907,21.19863,21.57399,20.52497,21.78125,21.70083,19.41463,21.19316,21.08284,21.20036
JANJIKNC_00193 hypothetical protein,21.53141,20.96965,21.40997,20.56384,20.52283,19.01146,22.33914,22.70866,21.89304,21.71511,22.23987,22.03194,22.08864,21.98458,21.92908
JANJIKNC_00197 hypothetical protein,18.38788,18.85729,19.49804,19.84327,20.49334,19.12397,19.04426,19.2945,17.64519,19.81412,19.54283,20.70185,21.05391,21.01869,20.37475
JANJIKNC_00202 ESX-1 secretion-associated protein EspI,18.36559,20.62533,20.91692,20.196,20.30257,19.52369,20.15153,19.90768,20.36912,19.61528,19.24624,18.68303,20.60603,19.26011,21.02195
JANJIKNC_00206 Transcriptional regulator YqjI,18.87727,18.80199,19.05793,19.61886,20.27069,19.47765,22.45819,23.28743,20.96198,19.88536,19.40113,19.02609,19.91113,19.52698,22.30064
JANJIKNC_00219 hypothetical protein,18.28342,19.77105,17.69935,19.22194,20.01546,21.26471,20.99479,20.99265,20.85163,19.1442,18.75735,20.15264,19.91088,17.98488,19.32136
JANJIKNC_00234 Arsenical pump-driving ATPase,21.86537,21.94371,22.15295,21.75344,20.56747,21.04019,21.10169,21.59678,21.5616,21.25897,22.11994,22.05795,21.49385,19.63242,21.67211
JANJIKNC_00235 Putative ATPase,22.53747,22.62132,22.85893,22.03547,22.24792,22.11902,22.03268,22.30891,22.70318,22.25598,22.30134,22.58033,22.05384,21.82077,21.96317
JANJIKNC_00237 Putative reactive intermediate deaminase TdcF,22.10284,21.92234,21.90139,19.83183,21.05689,21.31352,21.6985,21.47946,22.25572,20.85666,21.96804,19.7068,21.32262,22.21664,22.15159
JANJIKNC_00239 CRP-like cAMP-activated global transcriptional regulator,27.35498,27.2615,27.49442,27.38179,26.61597,26.74522,27.23699,27.11227,26.79067,26.79054,26.91604,26.96389,27.70015,27.06897,27.806
JANJIKNC_00247 Acetyl-coenzyme A synthetase,23.00885,23.52826,23.05472,23.02909,19.70408,23.62667,24.328,24.68475,22.44427,19.47168,21.96818,21.76959,23.77233,23.77173,24.10141
JANJIKNC_00248 hypothetical protein,20.45683,20.06487,20.3483,19.15674,20.08061,19.48386,20.19496,18.24494,20.65552,20.54425,20.90073,20.81878,20.80183,21.10053,20.67917
JANJIKNC_00283 putative cold shock protein A,21.97726,21.99607,22.23841,22.49165,20.38302,19.61176,24.00607,23.71461,24.03909,22.41116,22.63834,21.71095,22.54137,22.26282,23.0551
JANJIKNC_00292 hypothetical protein,18.97288,19.38519,18.27219,19.59027,19.87676,19.01948,19.45399,19.25898,19.43854,18.92614,19.26416,19.97265,18.27332,18.99235,18.83359
JANJIKNC_00309 Anti-sigma-F factor antagonist RsfB,18.7181,18.6639,18.21831,19.54516,20.41933,19.89819,19.8484,19.98008,20.50543,20.3096,20.17905,19.41771,18.76336,19.01902,17.7087
JANJIKNC_00330 Hypoxanthine-guanine phosphoribosyltransferase,20.4865,18.60422,20.58169,21.07457,20.00436,20.72916,20.6063,20.67521,21.52908,20.52478,18.41232,21.1756,20.4171,19.49411,20.42091
JANJIKNC_00339 ATP-dependent zinc metalloprotease FtsH,19.5241,19.37218,19.66514,19.20088,20.60183,20.2,20.03214,19.82915,19.30412,19.79817,20.15231,19.92539,18.55444,19.54694,19.35162
JANJIKNC_00342 Dihydroneopterin aldolase,19.77324,20.32235,20.26717,21.36544,20.76991,20.55422,21.24905,20.82672,21.48596,19.67703,19.29883,20.76385,21.51682,21.57413,21.41808
JANJIKNC_00352 Nucleoid-associated protein Lsr2,24.36493,23.8227,23.86164,22.83779,22.57256,21.77708,22.87923,22.50133,21.71691,22.42798,22.69219,21.21904,22.42488,22.35832,22.26976
JANJIKNC_00353 ATP-dependent Clp protease ATP-binding subunit ClpC1,26.80759,27.58671,27.21521,25.44452,24.13446,24.82949,25.95753,25.4936,26.08515,25.1994,25.34804,25.14055,25.42406,25.18299,25.16484
JANJIKNC_00358 Heme-degrading monooxygenase HmoB,21.43746,20.93496,20.75914,20.95823,21.46822,20.41885,21.18168,20.52936,20.09738,19.87337,21.04354,19.35408,21.01373,20.7576,20.72376
JANJIKNC_00364 Carbonic anhydrase,22.73492,22.72767,22.84315,22.93589,23.13115,22.88262,23.61257,23.42624,23.36426,22.791,22.51203,22.65744,22.67932,23.64988,23.21688
JANJIKNC_00365 hypothetical protein,19.75068,21.45357,19.66286,22.90538,20.57227,23.61493,22.52724,22.88591,21.2149,18.93758,20.10935,19.45919,21.75185,21.72413,21.6817
JANJIKNC_00368 Putative lipoprotein LpqE,19.15136,17.15386,18.014,19.3038,19.7455,19.83191,21.14488,21.20467,21.01686,19.80261,19.52028,19.71863,18.92105,19.03022,18.87506
JANJIKNC_00369 RNA polymerase-binding transcription factor CarD,19.15118,19.07082,18.88166,19.0203,19.78039,19.58903,19.40158,19.59556,19.62854,19.72597,19.9613,19.81371,19.52092,19.14723,19.8405
JANJIKNC_00372 Cysteine--tRNA ligase,19.22299,19.76788,20.946,20.16565,19.89277,18.68762,19.7277,19.45814,20.49365,20.03739,19.32021,19.42278,18.79459,19.42874,18.67992
JANJIKNC_00388 putative protein,18.87311,20.19412,19.78298,20.74279,21.17035,19.38486,20.60041,19.94778,20.30095,20.8233,20.67133,19.7992,19.82965,20.91867,20.66336
