Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC
BDBJPGFE_00003 Myo-inositol 2-dehydrogenase,24.79283,24.87769,24.75399,24.65903,25.13682,25.26301,23.09561,24.89282,25.17601,25.13431,24.06211,24.49432,24.37844,24.4713,24.95931
BDBJPGFE_00005 Ribose import binding protein RbsB,23.04118,22.48306,23.13499,24.8361,25.69484,25.61716,24.30896,26.23234,24.60659,25.0476,24.5464,24.98772,25.47808,24.31879,24.13821
BDBJPGFE_00039 hypothetical protein,24.41348,24.71858,24.03117,30.63313,29.86815,29.17379,28.45998,28.59498,28.66224,28.04859,28.14928,28.07567,28.7105,27.93365,28.06224
BDBJPGFE_00051 2-amino-5-chloromuconic acid deaminase,26.25301,25.65655,25.46964,24.72068,24.28279,25.7375,25.0248,24.73591,24.27179,24.17464,25.36151,25.23006,25.33584,27.74362,23.17783
BDBJPGFE_00058 Solute-binding protein,24.61605,24.67573,24.32113,24.5182,24.98565,25.01049,25.6557,25.82352,25.52034,26.01161,24.94628,25.35202,24.74753,24.84785,25.23411
BDBJPGFE_00063 HTH-type transcriptional repressor ComR,25.17874,24.82318,24.47525,24.74646,24.32214,25.9636,23.6997,25.25657,25.57792,24.15632,23.88555,24.24917,25.08907,24.63741,24.39928
BDBJPGFE_00068 Sulfoacetaldehyde reductase,29.8715,29.77247,29.58278,29.26094,29.30678,28.57881,29.59829,29.73318,29.74238,29.66863,29.59087,29.69977,29.33656,29.73572,29.5331
"BDBJPGFE_00078 2,3-diketo-L-gulonate-binding periplasmic protein YiaO",29.67428,29.8817,30.05349,30.19941,30.97958,31.19701,29.81791,30.47325,30.05258,29.9034,29.29673,29.49093,30.01252,29.56953,29.88996
BDBJPGFE_00087 hypothetical protein,25.89048,25.46086,26.25658,25.71104,25.2063,25.44334,25.76388,25.47308,25.66723,25.76706,24.53918,26.0641,24.63925,25.6811,24.30228
BDBJPGFE_00089 NADP/NAD-dependent aldehyde dehydrogenase PuuC,27.28886,27.48508,27.37667,25.4431,25.2111,23.96955,25.11285,24.59307,24.99861,24.13876,23.64965,24.09011,25.71796,24.73843,24.60181
BDBJPGFE_00090 N-carbamoyl-L-amino-acid hydrolase,26.82299,27.43126,26.77027,23.60778,25.35678,25.57673,24.15445,24.78966,24.12126,24.16511,25.0184,24.53976,25.46429,25.63835,24.6423
BDBJPGFE_00091 Putrescine--pyruvate aminotransferase,25.94831,26.19368,25.64463,24.9674,25.73744,24.01935,24.15736,25.98058,23.87115,23.95948,25.65611,23.56088,24.32035,25.34189,24.08084
BDBJPGFE_00102 Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,27.5695,28.32462,28.07567,23.23977,26.43762,25.66856,27.09416,26.98348,26.50848,26.35424,26.65376,26.55636,25.03714,26.44463,26.16842
BDBJPGFE_00107 Heme oxygenase (staphylobilin-producing) 2,25.62067,25.91932,25.72624,25.32676,25.81506,25.4936,24.46716,25.04033,24.65567,23.69205,24.38652,25.55039,24.56586,24.81958,24.8094
BDBJPGFE_00114 Fumarate reductase flavoprotein subunit,26.54338,26.72012,26.2171,24.63711,24.43929,24.18858,24.99205,24.91452,25.24744,24.4345,24.61696,23.74656,25.25961,24.03581,24.29611
BDBJPGFE_00122 N-carbamoyl-L-amino-acid hydrolase,25.18246,25.11783,25.49427,25.93519,24.5237,25.93049,26.4441,24.32508,25.6365,25.56631,26.05534,25.96805,25.75824,25.67422,25.72858
BDBJPGFE_00126 Beta-alanine--pyruvate aminotransferase,25.49363,24.94615,25.28228,27.69465,27.42998,27.79346,27.44031,27.17188,27.29351,28.13839,27.80901,27.60724,27.52992,28.00924,27.71313
BDBJPGFE_00127 Putative 3-oxopropanoate dehydrogenase,26.24078,26.38683,26.07672,25.07131,25.31236,25.32546,26.25775,25.22131,24.67755,23.46493,24.97264,24.80915,26.00393,24.54266,24.52953
BDBJPGFE_00137 Ferrichrome outer membrane transporter/phage receptor,27.92892,28.80836,28.02538,28.33845,28.47591,28.1305,28.86343,28.22725,28.68552,28.48593,28.67805,28.43559,28.4056,28.87144,28.79058
BDBJPGFE_00141 Fructose-bisphosphate aldolase class 1,29.17624,29.14496,29.18241,29.59192,29.2941,29.44172,30.10037,29.88816,29.98726,29.46287,29.43786,29.64988,29.48817,29.48406,29.67061
BDBJPGFE_00151 DNA-3-methyladenine glycosylase 1,24.64384,24.89532,24.68346,25.91193,24.72549,25.56158,24.51369,24.50503,25.37684,23.64729,24.48822,25.37935,24.45512,24.96634,25.18567
BDBJPGFE_00165 Multidrug resistance protein MdtA,27.38088,27.11515,27.06969,25.23196,25.33475,25.23164,27.67855,27.92982,28.34917,24.24634,26.98294,24.59954,24.9654,25.47267,23.33593
BDBJPGFE_00166 Multidrug resistance protein MexB,26.51135,25.42908,25.98639,25.83386,24.5728,25.7038,28.93725,28.54701,28.95094,25.12833,26.26268,26.75951,25.39293,25.18056,25.81289
