Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P_mean,PhAc_mean,DBP_mean,DEHP_mean,ATBC_mean,P_sd,PhAc_sd,DBP_sd,DEHP_sd,ATBC_sd,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc,P_PhAc_ttest,P_DBP_ttest,P_DEHP_ttest,P_ATBC_ttest,P_PhAc_ttest_sig,P_DBP_ttest_sig,P_DEHP_ttest_sig,P_ATBC_ttest_sig,PhAc_DBP_ttest,PhAc_DEHP_ttest,PhAc_ATBC_ttest,PhAc_DBP_ttest_sig,PhAc_DEHP_ttest_sig,PhAc_ATBC_ttest_sig
JANJIKNC_00006 Bacterial proteasome activator,20.38638,20.16263,19.92467,19.49814,19.55741,20.68694,20.62934,20.12868,20.91736,19.73701,19.03075,19.8497,18.42476,19.14424,20.28218,0.01836397,0.020956637,0.019908685,0.014914854,0.010315554,20.15789333,19.91416333,20.55846,19.53915333,19.28372667,0.188522073,0.546971093,0.32585479,0.362427207,0.764676255,-0.24373,0.400566667,-0.61874,-0.874166667,0.644296667,-0.37501,-0.630436667,0.583397622,0.206830082,0.098874618,0.191568414,,,,,0.22563943,0.464263332,0.396667287,,,
JANJIKNC_00008 putative protein,22.15484,21.16858,21.30408,21.44076,20.49543,20.58353,20.91116,20.66813,21.01031,18.97707,21.42655,21.79289,21.88815,21.78073,21.70455,0.047948466,0.039810543,0.024591128,0.034099878,0.058654347,21.5425,20.83990667,20.8632,20.73217,21.79114333,0.436509083,0.426387108,0.143751891,1.250022202,0.075315196,-0.702593333,-0.6793,-0.81033,0.248643333,0.023293333,-0.107736667,0.951236667,0.178783359,0.104785994,0.435580591,0.47172778,,,,,0.945154319,0.913718044,0.035979539,,,+
JANJIKNC_00018 Putative acyl-[acyl-carrier-protein] desaturase DesA1,21.18435,20.91116,21.20461,19.34119,19.87289,19.90367,21.71971,21.25609,21.74911,21.57251,21.65823,20.41361,21.35143,18.83943,21.2397,0.035284257,0.018139825,0.040275652,0.047646819,0.023586282,21.10004,19.70591667,21.57497,21.21478333,20.47685333,0.133814194,0.258206646,0.225801433,0.567594933,1.158731283,-1.394123333,0.47493,0.114743333,-0.623186667,1.869053333,1.508866667,0.770936667,0.002471046,0.062709042,0.794601047,0.491960869,+,,,,0.001526126,0.026730407,0.410381657,+,+,
JANJIKNC_00019 putative cutinase,18.9515,19.43535,17.79944,19.81702,20.38766,19.4435,21.97306,21.90294,22.29449,18.76644,20.47491,19.82607,19.31259,18.77976,19.27555,0.006819548,0.020504926,0.056246679,0.016548914,0.009225686,18.72876333,19.88272667,22.05683,19.68914,19.12263333,0.686177382,0.388241807,0.170471719,0.704168448,0.242919167,1.153963333,3.328066667,0.960376667,0.39387,2.174103333,-0.193586667,-0.760093333,0.107235218,0.002644975,0.239311167,0.486790506,,+,,,0.001920263,0.750632909,0.078760698,+,,
JANJIKNC_00022 hypothetical protein,18.70679,19.0238,18.59726,20.04137,19.31245,19.19375,20.77024,20.31041,20.88084,20.40775,19.33503,19.00618,21.44324,18.85796,20.98607,0.007046285,0.015900813,0.021269232,0.015374966,0.022818195,18.77595,19.51585667,20.65383,19.58298667,20.42909,0.180870897,0.374740461,0.24699671,0.598448827,1.126525103,0.739906667,1.87788,0.807036667,1.65314,1.137973333,0.06713,0.913233333,0.065726551,0.000971791,0.141954538,0.109806084,,+,,,0.023049622,0.899538819,0.337823438,+,,
JANJIKNC_00023 putative enoyl-CoA hydratase echA8,18.41306,18.15635,18.32304,18.58857,20.39898,18.80154,20.03389,20.01031,19.84872,19.8916,20.05699,19.5556,18.30091,19.10728,19.36815,0.005057401,0.013344765,0.013188172,0.018306127,0.008047103,18.29748333,19.26303,19.96430667,19.83473,18.92544667,0.106348056,0.807929806,0.082297073,0.2086043,0.454274385,0.965546667,1.666823333,1.537246667,0.627963333,0.701276667,0.5717,-0.337583333,0.16911505,6.22E-05,0.000748555,0.129719448,,+,+,,0.289063359,0.387445095,0.633657346,,,
JANJIKNC_00059 putative diacyglycerol O-acyltransferase tgs2,23.13741,23.25724,23.12772,22.37496,20.26948,22.54123,22.11753,22.30048,21.96056,21.70582,22.73254,22.27461,23.77374,23.79362,23.63134,0.148573817,0.073706944,0.059016891,0.09681652,0.225334247,23.17412333,21.72855667,22.12619,22.23765667,23.7329,0.058905343,1.033953567,0.138906799,0.419970357,0.07227092,-1.445566667,-1.047933333,-0.936466667,0.558776667,0.397633333,0.5091,2.004343333,0.119619495,0.000602366,0.035427196,0.001062193,,+,+,+,0.618467604,0.553972799,0.052183458,,,
JANJIKNC_00100 Putative serine protease HtrA,21.40208,21.62382,21.14457,19.85984,19.87616,21.34652,21.57348,22.01219,22.28354,19.10078,21.68089,19.66408,18.06936,22.91883,21.47511,0.043143443,0.02856174,0.052464489,0.022754942,0.0299425,21.39015667,20.36084,21.95640333,20.14858333,20.8211,0.195834565,0.697012856,0.292552463,1.107639988,2.033082492,-1.029316667,0.566246667,-1.241573333,-0.569056667,1.595563333,-0.212256667,0.46026,0.114721091,0.085286804,0.193544533,0.713674282,,,,,0.040535351,0.829832364,0.777098243,+,,
JANJIKNC_00103 Putative aminotransferase/MSMEI_6121,21.09081,20.71666,20.80239,20.06408,21.10346,18.93695,20.79058,20.9679,21.10668,20.84667,19.61888,19.34823,20.682,19.17686,20.34624,0.030082782,0.022784834,0.026207709,0.019663542,0.017770218,20.86995333,20.03483,20.95505333,19.93792667,20.06836667,0.160043033,0.884715799,0.129366611,0.652009044,0.645121072,-0.835123333,0.0851,-0.932026667,-0.801586667,0.920223333,-0.096903333,0.033536667,0.259251839,0.590068765,0.121096483,0.163296675,,,,,0.219234226,0.906780389,0.967526105,,,
JANJIKNC_00108 hypothetical protein,21.98576,22.14957,22.2948,21.66123,20.05955,21.18041,23.45111,22.49404,22.99049,21.3175,21.37449,22.25615,21.97302,21.42762,22.10335,0.07272046,0.043478652,0.106551913,0.064396245,0.060450657,22.14337667,20.96706333,22.97854667,21.64938,21.83466333,0.126241035,0.67106001,0.39081345,0.429681541,0.292699714,-1.176313333,0.83517,-0.493996667,-0.308713333,2.011483333,0.682316667,0.8676,0.071495779,0.045200825,0.193783579,0.242657835,,+,,,0.02152088,0.292561404,0.169061558,+,,
JANJIKNC_00109 N-acetylmuramoyl-L-alanine amidase,19.4622,19.16745,19.20271,18.94946,20.23477,18.62979,20.31119,21.35665,20.43084,20.80987,19.00743,19.51517,19.23206,19.4429,18.77911,0.00997534,0.013421853,0.021954215,0.017594037,0.009411205,19.27745333,19.27134,20.69956,19.77749,19.15135667,0.131426317,0.693635471,0.46719338,0.758861571,0.276934483,-0.006113333,1.422106667,0.500036667,-0.126096667,1.42822,0.50615,-0.119983333,0.990815608,0.014330694,0.410470778,0.591946573,,+,,,0.073144407,0.524617899,0.831415827,,,
JANJIKNC_00110 Nucleoid-associated protein,22.8233,18.96428,22.75085,21.47328,20.14627,19.78664,23.4675,23.17536,23.75735,20.02611,18.74327,20.37794,22.74487,18.46891,23.33552,0.046971793,0.030779587,0.149458661,0.016857258,0.048484649,21.51281,20.46873,23.46673667,19.71577333,21.51643333,1.802325557,0.725338524,0.237597036,0.702504158,2.168373539,-1.04408,1.953926667,-1.797036667,0.003623333,2.998006667,-0.752956667,1.047703333,0.489578509,0.203139083,0.25919932,0.998637004,,,,,0.005140451,0.351118197,0.55229226,+,,
JANJIKNC_00117 putative protein,20.05894,20.42316,20.91254,19.32261,19.6684,19.00063,19.72291,17.89266,19.37903,19.43271,19.32562,18.93003,20.22882,19.46075,19.47365,0.022718454,0.01398413,0.006750835,0.012033446,0.013968412,20.46488,19.33054667,18.9982,19.22945333,19.72107333,0.349727188,0.27267372,0.794240678,0.21619099,0.359069734,-1.134333333,-1.46668,-1.235426667,-0.743806667,-0.332346667,-0.101093333,0.390526667,0.022408665,0.075159572,0.013164395,0.103816762,+,,+,,0.605539047,0.702238531,0.287796813,,,
JANJIKNC_00141 D-inositol 3-phosphate glycosyltransferase,22.99295,23.14748,22.85686,23.0052,22.10799,22.50872,22.47346,22.13486,20.53203,22.51915,21.79372,23.09329,23.39637,22.75886,23.33946,0.131599428,0.1294103,0.044333213,0.11363352,0.151999151,22.99909667,22.54063667,21.71345,22.46872,23.16489667,0.118724702,0.366979065,0.846749629,0.531744259,0.288049785,-0.45846,-1.285646667,-0.530376667,0.1658,-0.827186667,-0.071916667,0.62426,0.168063523,0.100609553,0.240643851,0.493560583,,,,,0.27370502,0.882541908,0.131391362,,,
JANJIKNC_00147 hypothetical protein,23.11382,22.93288,22.86104,22.87215,19.59703,22.53372,22.23304,22.078,22.2032,19.93968,22.49089,22.77014,23.8918,23.83605,23.74612,0.128904553,0.07065919,0.06089616,0.068265969,0.240131267,22.96924667,21.66763333,22.17141333,21.73357,23.82465667,0.106352662,1.470642114,0.067167177,1.27358448,0.060016785,-1.301613333,-0.797833333,-1.235676667,0.85541,0.50378,0.065936667,2.157023333,0.279962954,0.00085473,0.243308606,0.000582876,,+,,+,0.65372603,0.964068639,0.106922917,,,
JANJIKNC_00152 Aspartokinase,20.93063,20.75939,20.51316,20.77595,19.73855,21.25194,21.57163,21.34603,21.2972,19.60614,18.55203,19.60932,19.31349,18.96107,19.67997,0.02738485,0.033451183,0.035798305,0.012255476,0.010564843,20.73439333,20.58881333,21.40495333,19.25583,19.31817667,0.171345509,0.631850416,0.119532215,0.497663446,0.293508405,-0.14558,0.67056,-1.478563333,-1.416216667,0.81614,-1.332983333,-1.270636667,0.768876416,0.010503921,0.016500505,0.004146644,,+,+,+,0.147116313,0.079049485,0.061375604,,,
JANJIKNC_00153 Aspartate-semialdehyde dehydrogenase,23.55462,23.32828,23.37106,21.76765,20.3795,18.66231,23.4946,23.68453,24.68662,23.29025,23.89911,22.862,21.3315,22.90172,22.5204,0.175935086,0.026815439,0.209690257,0.209379734,0.080685049,23.41798667,20.26982,23.95525,23.35045333,22.25120667,0.098180218,1.270119786,0.522937159,0.425533092,0.668703472,-3.148166667,0.537263333,-0.067533333,-1.16678,3.68543,3.080633333,1.981386667,0.025011535,0.226476,0.837593267,0.071100917,+,,,,0.019194187,0.031303408,0.122655049,+,+,
JANJIKNC_00164 Histidine N-alpha-methyltransferase,20.20526,18.85118,20.00881,18.55742,20.14746,19.10813,19.44006,19.13634,20.2018,19.67353,20.01373,19.18763,18.65623,19.80663,19.91624,0.013262946,0.013418721,0.010193654,0.015828888,0.011653753,19.68841667,19.27100333,19.59273333,19.62496333,19.4597,0.5974234,0.659268581,0.448168951,0.338997879,0.569898598,-0.417413333,-0.095683333,-0.063453333,-0.228716667,0.32173,0.35396,0.188696667,0.543295812,0.865032239,0.902367153,0.715213351,,,,,0.598698551,0.536539641,0.774711503,,,
JANJIKNC_00188 hypothetical protein,19.96888,20.73082,20.10072,19.21375,20.1032,19.44658,22.36818,23.10679,18.21047,23.03031,22.32056,21.96624,23.01803,23.2558,23.413,0.019803993,0.01671435,0.03167661,0.111319408,0.158898987,20.26680667,19.58784333,21.22848,22.43903667,23.22894333,0.332492332,0.376604853,2.155253187,0.442409148,0.162360269,-0.678963333,0.961673333,2.17223,2.962136667,1.640636667,2.851193333,3.6411,0.128551273,0.566661954,0.005153757,0.000346973,,,+,+,0.348718209,0.002263796,0.00023154,,+,+
JANJIKNC_00192 hypothetical protein,21.18211,20.77587,21.47927,20.49609,20.72415,19.32907,21.19863,21.57399,20.52497,21.78125,21.70083,19.41463,21.19316,21.08284,21.20036,0.036420094,0.025251117,0.028961465,0.040087892,0.037839194,21.14575,20.18310333,21.09919667,20.96557,21.15878667,0.288310512,0.611027845,0.433993841,1.097171517,0.053782786,-0.962646667,-0.046553333,-0.18018,0.013036667,0.916093333,0.782466667,0.975683333,0.11414816,0.905545581,0.833282884,0.952891742,,,,,0.158938327,0.428004098,0.08769322,,,
JANJIKNC_00193 hypothetical protein,21.53141,20.96965,21.40997,20.56384,20.52283,19.01146,22.33914,22.70866,21.89304,21.71511,22.23987,22.03194,22.08864,21.98458,21.92908,0.040633266,0.022751377,0.067204194,0.08186442,0.067827079,21.30367667,20.03271,22.31361333,21.99564,22.00076667,0.241339704,0.722326854,0.333464345,0.215764581,0.06613801,-1.270966667,1.009936667,0.691963333,0.69709,2.280903333,1.96293,1.968056667,0.077652419,0.025589678,0.039053061,0.016965705,,+,+,+,0.015418612,0.021159954,0.018504963,+,+,+
