Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P,PhAc,DBP,DEHP,ATBC,P_sd,PhAc_sd,DBP_sd,DEHP_sd,ATBC_sd,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc,P_PhAc_ttest,P_DBP_ttest,P_DEHP_ttest,P_ATBC_ttest,P_PhAc_ttest_sig,P_DBP_ttest_sig,P_DEHP_ttest_sig,P_ATBC_ttest_sig,PhAc_DBP_ttest,PhAc_DEHP_ttest,PhAc_ATBC_ttest,PhAc_DBP_ttest_sig,PhAc_DEHP_ttest_sig,PhAc_ATBC_ttest_sig
BDBJPGFE_00005 Ribose import binding protein RbsB,-15.38936,-16.38919,-16.29352,-13.12917,-13.17384,-13.32575,-13.86797,-13.40654,-14.31888,-16.45826,-17.83714,-17.18303,-14.33597,-14.75063,-14.75775,0.001520568924687323,0.010891762735522864,0.006895193466560895,0.0006874744375159808,0.004014705421906046,-16.024023333333332,-13.209586666666667,-13.864463333333333,-17.159476666666666,-14.614783333333333,0.4504711217035881,0.08413993199162623,0.3724694989153103,0.5631717223211968,0.19717222544995747,2.8144366666666656,2.159559999999999,-1.1354533333333343,1.4092399999999987,-0.6548766666666666,-3.94989,-1.4051966666666669,0.0009672570009038391,0.006405618995997766,0.08994779968711912,0.01543817563264522,+,+,,+,0.07234261963911721,0.0006053229358641611,0.0007531332659154067,,+,+
BDBJPGFE_00039 hypothetical protein,-12.1258,-12.5597,-12.07926,-7.334061,-7.894087,-7.627597,-10.46213,-10.7764,-10.13501,-9.85949,-9.821798,-10.06838,-9.203348,-9.255549,-9.504559,0.020730953180618607,0.5249988874517163,0.07312068589944264,0.10413409120748748,0.15746915675202086,-12.254919999999998,-7.618581666666667,-10.457846666666667,-9.916556,-9.321152,0.21634791301666537,0.22871851309026597,0.2618638873325017,0.10845296045751823,0.13142762732647464,4.636338333333332,1.7970733333333317,2.3383639999999986,2.933767999999999,-2.839265,-2.2979743333333333,-1.702570333333333,3.140906185368135e-05,0.0017062970627380067,0.00016611977538840187,8.111975812373062e-05,+,+,+,+,0.00032107695252953734,0.00021218405303689893,0.0007993388744012273,+,+,+
BDBJPGFE_00051 2-amino-5-chloromuconic acid deaminase,-21.5192,-19.99442,-18.47851,-13.58871,-13.61124,-14.14116,-15.07836,-15.24801,-15.80962,-15.35465,-16.17374,-15.62296,-16.30042,-14.42642,-15.04143,9.68071810565338e-05,0.007332891647519623,0.0024139420317135533,0.0018683153368277555,0.0025739561349621535,-19.997376666666668,-13.78037,-15.378663333333334,-15.717116666666668,-15.25609,1.2413582548787263,0.2552828082734904,0.31250388481140895,0.34095573068785423,0.7799693099517864,6.217006666666668,4.618713333333334,4.28026,4.741286666666667,-1.5982933333333342,-1.936746666666668,-1.4757200000000008,0.0022669858272282672,0.006969731603234449,0.009293694733296465,0.010232684486682972,+,+,+,+,0.0049871953730911975,0.0030075141776406936,0.06377863211399369,+,+,
BDBJPGFE_00053 L-threonate dehydrogenase,-19.32355,-18.76642,-20.09548,-12.046,-10.96647,-10.9933,-16.89433,-13.90635,-16.64534,-15.50457,-16.70473,-17.17737,-14.93552,-14.89649,-14.4557,0.00014695889062526002,0.03993261250838719,0.0017835038931693422,0.0011146813175560222,0.0036238103821096598,-19.39515,-11.335256666666666,-15.81534,-16.46222333333333,-14.762570000000002,0.544943447157592,0.5026907774721509,1.3536816760474626,0.7041174487888291,0.21757409910189218,8.059893333333335,3.57981,2.9329266666666705,4.632579999999999,-4.480083333333335,-5.1269666666666645,-3.427313333333336,0.00010442723803376685,0.025599420177712377,0.009600041668163332,0.0003662713708893226,+,+,+,+,0.011804202815711649,0.0011088487566969572,0.0009005822620286858,+,+,+
BDBJPGFE_00058 Solute-binding protein,-12.76307,-13.58521,-14.01568,-15.21045,-13.74209,-15.99742,-11.54075,-11.1725,-12.86771,-16.72239,-17.96506,-16.07997,-15.41409,-15.52065,-14.69104,0.009025339567338118,0.0031853065490691974,0.02766009804153098,0.0008102175884737145,0.002660106735271446,-13.454653333333335,-14.983319999999999,-11.86032,-16.922473333333333,-15.208593333333333,0.5196420148739147,0.9346369633535083,0.7280237975506026,0.7824815577095454,0.3685420356244623,-1.5286666666666644,1.594333333333335,-3.467819999999998,-1.7539399999999983,3.1229999999999993,-1.9391533333333335,-0.22527333333333388,0.1132908076811386,0.06530184878895291,0.006422629460898778,0.0176374068157849,,,+,+,0.02033304490520769,0.08766479219160371,0.7670272269360571,+,,
"BDBJPGFE_00078 2,3-diketo-L-gulonate-binding periplasmic protein YiaO",-8.80376,-10.19918,-10.57108,-10.48051,-9.495345,-11.05187,-10.63574,-10.47935,-11.29599,-11.63956,-11.79886,-11.91585,-10.83029,-10.56992,-11.58249,0.10918477441670203,0.07946111993296459,0.05753472425745653,0.02852387290320039,0.04937963044037919,-9.858006666666668,-10.342575000000002,-10.803693333333333,-11.784756666666667,-10.994233333333334,0.7607690968720768,0.6428903831265997,0.3539128555952092,0.11323491520826222,0.4293270421122911,-0.4845683333333337,-0.9456866666666652,-1.9267499999999984,-1.1362266666666656,-0.4611183333333315,-1.4421816666666647,-0.6516583333333319,0.5292656023672129,0.1861763269578472,0.023956077678793826,0.139684954617547,,,+,,0.42442332320831305,0.035376636325401924,0.29910434337209113,,+,
BDBJPGFE_00102 Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,-15.57104,-19.55846,-19.89814,-13.00353,-12.69659,-16.06147,-14.0377,-12.81456,-13.55975,-16.86971,-16.84983,-15.74392,-15.96824,-14.32265,-14.97989,0.00030483234129831155,0.006654001640670724,0.00905920446259994,0.0010950787657537612,0.0028874930369431288,-18.342546666666667,-13.92053,-13.47067,-16.48782,-15.090259999999999,1.964651373337152,1.5190503839789733,0.5033019635036865,0.5260793419881336,0.6763272209515157,4.422016666666668,4.871876666666667,1.854726666666668,3.2522866666666683,0.44985999999999926,-2.56729,-1.1697299999999995,0.06548419867259184,0.027347411776009613,0.26668657967388076,0.09125972989517968,,+,,,0.7112575762707345,0.0868241116337768,0.3761169471361405,,,
BDBJPGFE_00122 N-carbamoyl-L-amino-acid hydrolase,-19.93455,-18.83407,-20.18614,-13.9694,-14.16355,-14.17641,-14.05246,-13.77136,-14.0457,-17.20067,-17.12289,-16.28631,-15.38163,-14.66861,-16.14321,0.00012302708563751108,0.0058629722240143315,0.006469022355382609,0.0008402543291178181,0.002333120467553548,-19.651586666666667,-14.103119999999999,-13.956506666666664,-16.869956666666667,-15.397816666666666,0.5871254875710611,0.09469996022526464,0.13094754810822387,0.4139202867971346,0.6021117261402206,5.548466666666668,5.695080000000003,2.78163,4.253770000000001,0.1466133333333346,-2.766836666666668,-1.2946966666666668,0.00019062508036892504,0.00017997020836970262,0.005412549557747958,0.0020210661672772014,+,+,+,+,0.26877307023568087,0.0007705331122214913,0.039784830543103576,,+,+
BDBJPGFE_00126 Beta-alanine--pyruvate aminotransferase,-18.67539,-17.98142,-19.9435,-16.81879,-14.76579,-15.47216,-16.19362,-15.64688,-15.87593,-16.51489,-15.52215,-15.07732,-14.32808,-14.99317,-14.70471,0.0002119600893829239,0.0019577169896161867,0.0016754837546581758,0.0018843513309433938,0.0038497305371449036,-18.86677,-15.685580000000002,-15.905476666666667,-15.704786666666669,-14.67532,0.812366587980246,0.8516115398858014,0.22418134182447513,0.6009265014588357,0.27231600038680526,3.1811899999999973,2.961293333333332,3.16198333333333,4.19145,-0.2198966666666653,-0.01920666666666726,1.0102600000000024,0.01873756178178671,0.007654557603819204,0.011462966261601691,0.0022905844274564236,+,+,+,+,0.7418104419423608,0.9804574622029414,0.18529336842914157,,,
BDBJPGFE_00137 Ferrichrome outer membrane transporter/phage receptor,-19.24367,-15.70274,-15.57518,-13.06731,-15.41021,-13.34079,-12.47816,-13.45501,-12.849,-13.78429,-14.96678,-16.7603,-15.68049,-13.2478,-13.6894,0.0008634021233950474,0.006567369169439495,0.013201814850212986,0.002729048389483828,0.00533016724368387,-16.84053,-13.939436666666666,-12.92739,-15.170456666666666,-14.205896666666666,1.700074367608665,1.0459695585542732,0.40263111711176314,1.2234574010928576,1.0581656341781076,2.9010933333333355,3.9131400000000003,1.6700733333333346,2.634633333333335,1.0120466666666648,-1.231020000000001,-0.26646000000000036,0.10901761870935653,0.03393770334865009,0.32254087727796926,0.1362977991411833,,+,,,0.270692305220413,0.3402922995796424,0.812545065138414,,,
