Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P,PhAc,DBP,DEHP,ATBC,P_sd,PhAc_sd,DBP_sd,DEHP_sd,ATBC_sd,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc,P_PhAc_ttest,P_DBP_ttest,P_DEHP_ttest,P_ATBC_ttest,P_PhAc_ttest_sig,P_DBP_ttest_sig,P_DEHP_ttest_sig,P_ATBC_ttest_sig,PhAc_DBP_ttest,PhAc_DEHP_ttest,PhAc_ATBC_ttest,PhAc_DBP_ttest_sig,PhAc_DEHP_ttest_sig,PhAc_ATBC_ttest_sig
BDBJPGFE_00003 Myo-inositol 2-dehydrogenase,24.79283,24.87769,24.75399,24.65903,25.13682,25.26301,23.09561,24.89282,25.17601,25.13431,24.06211,24.49432,24.37844,24.4713,24.95931,0.0017827330910265018,0.002309986258793178,0.0011804310460142198,0.001480392556231713,0.0015533542348160393,24.80817,25.019620000000003,24.388146666666668,24.56358,24.603016666666665,0.05165210031224939,0.2601279686359515,0.9212446001771494,0.44045500769091,0.2547736896846986,0.2114500000000028,-0.42002333333333297,-0.24458999999999875,-0.2051533333333353,-0.6314733333333358,-0.45604000000000156,-0.4166033333333381,0.3225635781629104,0.5547775410523446,0.47897438170139145,0.3269105525365979,,,,,0.40368093092387486,0.2759119638992929,0.18095145430129014,,,
BDBJPGFE_00005 Ribose import binding protein RbsB,23.04118,22.48306,23.13499,24.8361,25.69484,25.61716,24.30896,26.23234,24.60659,25.0476,24.5464,24.98772,25.47808,24.31879,24.13821,0.0004705209025939389,0.002971032258636119,0.0018666659468070535,0.0018187826159552316,0.0015992515336435565,22.886409999999998,25.3827,25.049296666666667,24.86057333333333,24.645026666666666,0.28777131649975174,0.3878034000194775,0.8453163315719289,0.2234950650213312,0.5936529155622454,2.496290000000002,2.162886666666669,1.9741633333333333,1.7586166666666685,-0.33340333333333305,-0.5221266666666686,-0.7376733333333334,0.0018623402456647402,0.026646452194819575,0.0015593239834592262,0.01960706352468139,+,+,+,+,0.6388417137504903,0.17434892762156498,0.2151986797227698,,,
BDBJPGFE_00039 hypothetical protein,24.41348,24.71858,24.03117,30.63313,29.86815,29.17379,28.45998,28.59498,28.66224,28.04859,28.14928,28.07567,28.7105,27.93365,28.06224,0.0013320646040475047,0.06764701029566002,0.02145983537137102,0.017072232059342246,0.019263975181762295,24.387743333333333,29.89169,28.572400000000002,28.091179999999998,28.235463333333332,0.2812234094491819,0.5960055411375529,0.08410180021854413,0.04254440112008505,0.3399791395888217,5.503946666666668,4.184656666666669,3.703436666666665,3.847719999999999,-1.3192899999999987,-1.8005100000000027,-1.6562266666666687,0.0002941154396251534,3.572490636705399e-05,5.117310947826566e-05,0.0002483629231690138,+,+,+,+,0.03623064494606176,0.01303862263356714,0.026938080489272223,+,+,+
BDBJPGFE_00051 2-amino-5-chloromuconic acid deaminase,26.25301,25.65655,25.46964,24.72068,24.28279,25.7375,25.0248,24.73591,24.27179,24.17464,25.36151,25.23006,25.33584,27.74362,23.17783,0.0035283346135384576,0.0021464029407194363,0.0014425957747819995,0.0018979865733567806,0.0027348597815297308,25.793066666666665,24.913656666666668,24.6775,24.92207,25.419096666666665,0.3340606126970911,0.6093577446423049,0.31017716561131103,0.5312303199805775,1.8649054194843828,-0.8794099999999965,-1.1155666666666662,-0.8709966666666631,-0.3739699999999999,-0.23615666666666968,0.008413333333333384,0.5054399999999966,0.1480083254883629,0.025798078658330423,0.1211547627941249,0.7939686936523983,,+,,,0.6508053192397066,0.9889618960089123,0.7340515521251487,,,
BDBJPGFE_00058 Solute-binding protein,24.61605,24.67573,24.32113,24.5182,24.98565,25.01049,25.6557,25.82352,25.52034,26.01161,24.94628,25.35202,24.74753,24.84785,25.23411,0.0014779089452023636,0.002036903457540541,0.002863316409312662,0.0027113971628167765,0.001966368259445987,24.537636666666668,24.838113333333336,25.666520000000002,25.43663666666667,24.943163333333334,0.15501995169081434,0.2264400760073672,0.12400895774096223,0.4390155558620774,0.20976732782352503,0.3004766666666683,1.1288833333333343,0.8990000000000009,0.4055266666666668,0.8284066666666661,0.5985233333333326,0.10504999999999853,0.19642273637106022,0.0012977842986076032,0.05240334865888578,0.09278340810085249,,+,,,0.010514503880501375,0.16177008567373702,0.6554482415614259,+,,
BDBJPGFE_00063 HTH-type transcriptional repressor ComR,25.17874,24.82318,24.47525,24.74646,24.32214,25.9636,23.6997,25.25657,25.57792,24.15632,23.88555,24.24917,25.08907,24.63741,24.39928,0.0018045561740934247,0.002295801013246481,0.0016198914084835669,0.0010713375598722708,0.0016712839495938285,24.825723333333332,25.010733333333334,24.84473,24.097013333333337,24.708586666666665,0.2872042205276402,0.6956905580947765,0.8202181544361634,0.15425700769243,0.2860677652041359,0.1850100000000019,0.01900666666666595,-0.728709999999996,-0.11713666666666711,-0.16600333333333595,-0.9137199999999979,-0.302146666666669,0.7456376915770428,0.9768072626304882,0.034147350041020964,0.7037217434532503,,,+,,0.8378951871102097,0.14397955251065145,0.6003643163618314,,,
BDBJPGFE_00068 Sulfoacetaldehyde reductase,29.8715,29.77247,29.58278,29.26094,29.30678,28.57881,29.59829,29.73318,29.74238,29.66863,29.59087,29.69977,29.33656,29.73572,29.5331,0.054499486072842274,0.03771607398696666,0.04660621464081769,0.050404819738371236,0.047422403085668446,29.74225,29.048843333333334,29.69128333333333,29.653090000000002,29.535126666666667,0.11979077844308425,0.332890199348407,0.06586339414947441,0.04579607843473147,0.1629626888448881,-0.6934066666666645,-0.05096666666666749,-0.08915999999999613,-0.20712333333333177,0.642439999999997,0.6042466666666684,0.48628333333333273,0.050238823330014386,0.6259048061286091,0.3811759570446517,0.22111690886033172,,,,,0.05537980487588774,0.06377319241346302,0.13711769808458196,,,
"BDBJPGFE_00078 2,3-diketo-L-gulonate-binding periplasmic protein YiaO",29.67428,29.8817,30.05349,30.19941,30.97958,31.19701,29.81791,30.47325,30.05258,29.9034,29.29673,29.49093,30.01252,29.56953,29.88996,0.059538214570760604,0.1262609122472957,0.062498389266304,0.04737606445238103,0.05793541195182262,29.869823333333333,30.792,30.11458,29.563686666666666,29.824003333333334,0.15503945182508314,0.4283231897372194,0.27110960747761503,0.25295885256082506,0.18676678225946727,0.9221766666666689,0.2447566666666674,-0.30613666666666717,-0.045819999999999084,-0.6774200000000015,-1.228313333333336,-0.967996666666668,0.045790399416522125,0.3298766816609733,0.21826589768870874,0.8026999553268164,+,,,,0.13176546918636803,0.025076010041517452,0.042827643694428076,,+,+
BDBJPGFE_00087 hypothetical protein,25.89048,25.46086,26.25658,25.71104,25.2063,25.44334,25.76388,25.47308,25.66723,25.76706,24.53918,26.0641,24.63925,25.6811,24.30228,0.0037198060126944505,0.003120601786384432,0.002800912866619567,0.0027495200109707747,0.0018745966375807532,25.86930666666667,25.45356,25.63473,25.45678,24.87421,0.3251961583755596,0.2061859245115121,0.12092242003312186,0.6600760109765129,0.58690760164328,-0.4157466666666707,-0.2345766666666691,-0.4125266666666718,-0.9950966666666687,0.1811700000000016,0.0032199999999988904,-0.579349999999998,0.20148341342556603,0.39313596688379837,0.4722428387697022,0.1039637007860307,,,,,0.34413435598067954,0.9950612444408451,0.25819211786599783,,,
BDBJPGFE_00089 NADP/NAD-dependent aldehyde dehydrogenase PuuC,27.28886,27.48508,27.37667,25.4431,25.2111,23.96955,25.11285,24.59307,24.99861,24.13876,23.64965,24.09011,25.71796,24.73843,24.60181,0.010625489400991525,0.002089050840171664,0.0016849165074628181,0.0009739411145107166,0.0020730719661646918,27.383536666666668,24.874583333333334,24.901510000000002,23.959506666666666,25.0194,0.0802534960124619,0.6469260652415297,0.22303081939498856,0.22000010762623595,0.49709543771795006,-2.5089533333333343,-2.482026666666666,-3.424030000000002,-2.364136666666667,0.026926666666668098,-0.9150766666666676,0.14481666666666726,0.005532115476903306,0.00012105773266662381,3.2315070985750675e-05,0.0026701441991101005,+,+,+,+,0.9582902978518024,0.13116053769801483,0.814160813292207,,,
